weapon,sub,sp
わかばシューター,スプラッシュボム,インクアーマー
スプラシューター,クイックボム,スーパーチャクチ
スプラチャージャー,スプラッシュボム,ハイパープレッサー
スプラローラー,カーリングボム,スーパーチャクチ
スプラシューターコラボ,スプラッシュボム,ジェットパック
もみじシューター,ロボットボム,アメフラシ
スプラマニューバー,クイックボム,マルチミサイル
ホットブラスター,ポイズンミスト,スーパーチャクチ
バケットスロッシャー,キューバンボム,マルチミサイル
パブロ,スプラッシュボム,スーパーチャクチ
スプラシューターベッチュー,キューバンボム,マルチミサイル
プロモデラーMG,キューバンボム,ボムピッチャー(カーリングボム)
カーボンローラー,ロボットボム,アメフラシ
パブロヒュー,トラップ,イカスフィア
バケットスロッシャーデコ,スプリンクラー,イカスフィア
バレルスピナー,スプリンクラー,ハイパープレッサー
おちばシューター,トーピード,バブルランチャー
N-ZAP85,キューバンボム,インクアーマー
パラシェルター,スプリンクラー,アメフラシ
ボールドマーカー,カーリングボム,スーパーチャクチ
プライムシューター,ポイントセンサー,アメフラシ
カーボンローラーデコ,クイックボム,ボムピッチャー
ホクサイ,ロボットボム,ジェットパック
スプラマニューバーコラボ,カーリングボム,ジェットパック
N-ZAP89,ロボットボム,マルチミサイル
オーバーフロッシャー,スプラッシュシールド,アメフラシ
スプラローラーコラボ,ジャンプビーコン,イカスフィア
デュアルスイーパー,ポイントセンサー,マルチミサイル
バレルスピナーデコ,スプラッシュシールド,バブルランチャー
スクイックリンα,ポイントセンサー,インクアーマー
パーマネントパブロ,スプリンクラー,インクアーマー
スパイガジェット,トラップ,スーパーチャクチ
ラピッドブラスター,トラップ,ボムピッチャー(スプラッシュボム)
スクリュースロッシャー,ロボットボム,ハイパープレッサー
ロングブラスター,キューバンボム,アメフラシ
.52ガロン,ポイントセンサー,イカスフィア
クアッドホッパーブラック,ロボットボム,スーパーチャクチ
スプラローラーベッチュー,スプラッシュボム,バブルランチャー
パラシェルターソレーラ,ロボットボム,ボムピッチャー(スプラッシュボム)
ヒッセン,クイックボム,インクアーマー
スプラスコープ,スプラッシュボム,ハイパープレッサー
ホクサイヒュー,ジャンプビーコン,マルチミサイル
スプラチャージャーコラボ,スプラッシュシールド,ボムピッチャー(キューバンボム)
ボトルガイザー,スプラッシュシールド,ハイパープレッサー
スプラマニューバーベッチュー,キューバンボム,イカスフィア
デュアルスイーパーカスタム,スプラッシュボム,アメフラシ
ラピッドブラスターデコ,キューバンボム,ジェットパック
バケットスロッシャーソーダ,スプラッシュボム,クイックボムピッチャー
ヒッセンヒュー,スプラッシュボム,アメフラシ
スクイックリンβ,ロボットボム,イカスフィア
ジェットスイーパー,ポイズンミスト,マルチミサイル
ケルビン525,トラップ,ジェットパック
ロングブラスターカスタム,カーリングボム,バブルランチャー
L3リールガン,カーリングボム,イカスフィア
ボールドマーカーネオ,ジャンプビーコン,マルチミサイル
14式竹筒銃・甲,カーリングボム,マルチミサイル
エクスプロッシャー,スプリンクラー,バブルランチャー
ノヴァブラスター,スプラッシュボム,イカスフィア
スプラチャージャーベッチュー,スプリンクラー,イカスフィア
スパイガジェットソレーラ,スプラッシュボム,イカスフィア
スクリュースロッシャーネオ,ポイントセンサー,スプラッシュボムピッチャー
N-ZAP83,スプリンクラー,アメフラシ
バレルスピナーリミックス,ポイントセンサー,ナイスダマ
リッター4k,トラップ,アメフラシ
ダイナモローラー,トラップ,ハイパープレッサー
ホクサイベッチュー,キューバンボム,ウルトラハンコ
プライムシューターコラボ,キューバンボム,バブルランチャー
オーバーフロッシャーデコ,スプリンクラー,キューバンボムピッチャー
.96ガロン,スプリンクラー,インクアーマー
クアッドホッパーホワイト,スプリンクラー,ボムピッチャー
14式竹筒銃・乙,ポイズンミスト,ボムピッチャー
スクリュースロッシャーベッチュー,タンサンボム,スーパーチャクチ
ラピッドブラスターベッチュー,トーピード,イカスフィア
ソイチューバー,キューバンボム,スーパーチャクチ
.52ガロンデコ,カーリングボム,ハイパープレッサー
Rブラスターエリート,ポイズンミスト,アメフラシ
エクスプロッシャーカスタム,ポイントセンサー,イカスフィア
プライムシューターベッチュー,スプラッシュボム,ナイスダマ
L3リールガンD,クイックボム,ジェットパック
スプラスピナー,クイックボム,マルチミサイル
キャンピングシェルター,ジャンプビーコン,バブルランチャー
ボールドマーカー7,スプラッシュボム,ウルトラハンコ
ロングブラスターネクロ,クイックボム,マルチミサイル
ヴァリアブルローラー,スプラッシュシールド,ボムピッチャー(スプラッシュボム)
ノヴァブラスターネオ,トラップ,ボムピッチャー(キューバンボム)
Rブラスターエリートデコ,スプラッシュシールド,インクアーマー
ケルビン525デコ,スプラッシュシールド,イカスフィア
スパイガジェットベッチュー,トーピード,インクアーマー
